question_id,score,comment,unit
1,2,"TEM SETORES MUITO QUENTES QUE PRECISAM DE UM AR CONDICIONADO","Fortaleza"
2,3,"","Fortaleza"
3,3,"","Fortaleza"
4,2,"","Fortaleza"
5,4,"","Fortaleza"
6,4,"","Fortaleza"
7,4,"","Fortaleza"
8,1,"","Fortaleza"
9,1,"","Fortaleza"
10,3,"","Fortaleza"
11,2,"","Fortaleza"
12,3,"","Fortaleza"
13,2,"","Fortaleza"
14,1,"","Fortaleza"
15,1,"","Fortaleza"
16,3,"","Fortaleza"
17,3,"","Fortaleza"
18,3,"","Fortaleza"
19,4,"","Fortaleza"
20,2,"","Fortaleza"
21,4,"","Fortaleza"
22,3,"","Fortaleza"
23,2,"","Fortaleza"
24,3,"","Fortaleza"
25,3,"","Fortaleza"
26,3,"","Fortaleza"
27,4,"","Fortaleza"
28,3,"","Fortaleza"
29,3,"","Fortaleza"
30,3,"","Fortaleza"
31,2,"","Fortaleza"
32,1,"","Fortaleza"
33,3,"","Fortaleza"
34,1,"","Fortaleza"
35,3,"","Fortaleza"
36,3,"","Fortaleza"
37,2,"","Fortaleza"
38,3,"","Fortaleza"
39,1,"","Fortaleza"
40,3,"","Fortaleza"
41,2,"","Fortaleza"
42,3,"","Fortaleza"
43,2,"","Fortaleza"
44,3,"","Fortaleza"
45,4,"","Fortaleza"
1,4,"","Fortaleza"
2,4,"","Fortaleza"
3,4,"Perceptível o esforço das equipes para receber bem os novos colaboradores e demonstrar acolhimento.","Fortaleza"
4,3,"","Fortaleza"
5,4,"","Fortaleza"
6,3,"","Fortaleza"
7,4,"","Fortaleza"
8,2,"","Fortaleza"
9,3,"","Fortaleza"
10,4,"","Fortaleza"
11,4,"","Fortaleza"
12,4,"","Fortaleza"
13,3,"","Fortaleza"
14,3,"","Fortaleza"
15,3,"","Fortaleza"
16,4,"","Fortaleza"
17,4,"","Fortaleza"
18,4,"","Fortaleza"
19,4,"","Fortaleza"
20,1,"","Fortaleza"
21,4,"","Fortaleza"
22,3,"","Fortaleza"
23,2,"","Fortaleza"
24,4,"","Fortaleza"
25,3,"","Fortaleza"
26,4,"","Fortaleza"
27,4,"","Fortaleza"
28,4,"","Fortaleza"
29,4,"","Fortaleza"
30,4,"","Fortaleza"
31,4,"","Fortaleza"
32,4,"","Fortaleza"
33,4,"","Fortaleza"
34,3,"","Fortaleza"
35,4,"","Fortaleza"
36,4,"","Fortaleza"
37,4,"","Fortaleza"
38,4,"","Fortaleza"
39,3,"","Fortaleza"
40,3,"","Fortaleza"
41,4,"","Fortaleza"
42,4,"","Fortaleza"
43,4,"","Fortaleza"
44,4,"","Fortaleza"
45,2,"","Fortaleza"
1,4,"","Fortaleza"
2,4,"","Fortaleza"
3,4,"","Fortaleza"
4,3,"Sinto falta as vezes de um pouco mais de disposição de alguns colaboradores, para me ajudar no que faço, pois dependo dos outros para realizar.","Fortaleza"
5,4,"Sim, aqui na Nordeste busco sempre aprender, para mim e um local onde estou tendo a oportunidade de crescer profissionalmente. Com o que aprendo na faculdade e em cursos, busco aplicar e testar aqui na intenção de ter ótimos resultados.","Fortaleza"
6,4,"Sinto que temos ótimos profissionais e a gente sempre quer ta perto de quem bom naquilo que faz e aprender junto, porém, temos sempre que estar em busca de se atualizar e estudar pois as coisas mudam muito a cada ano.","Fortaleza"
7,4,"Sim, pois já vi que temos alguns curso onde posso estudar e me aperfeiçoar, trazendo melhorias para a nordeste. Dessa forma vejo que a empresa incentiva o colaborador a estudar e evoluir, isso me motiva a sempre entregar o meu melhor. Acho interessante também ter de forma acessível para todos caso não tenha ainda.","Fortaleza"
8,3,"Até onde sei não existe mas seria interessante ter.","Fortaleza"
9,4,"Sim, gosto muito quando sugiro algo e debatemos sobre o assunto acredito que quando varias cabeças pensam juntas e melhor que só uma.","Fortaleza"
10,4,"Sim, me mantém informado.","Fortaleza"
11,4,"Sim, com certeza.","Fortaleza"
12,4,"Sim, a Nordeste busca crescer cada vez mais e quero fazer parte disso. Busco sempre estudar e aprender cada vez mais para assim quando a Nordeste for crescendo nos crescermos juntos também. Sempre vejo muitas promoções vem muita para a área da manutenção e logística mas espero que os outros setores estejam no radar também.","Fortaleza"
13,4,"Sim, com certeza! Acredito que isso faz com que a gente queira sempre fazer o nosso melhor sempre.","Fortaleza"
14,3,"","Fortaleza"
15,4,"Sim, muito satisfeito! Poderia melhorar com o trabalho híbrido.","Fortaleza"
16,4,"","Fortaleza"
17,4,"","Fortaleza"
18,4,"Sim, com toda certeza! Acho que isso e o que me deixa mais feliz em trabalhar aqui.","Fortaleza"
19,4,"","Fortaleza"
20,1,"","Fortaleza"
21,4,"","Fortaleza"
22,4,"","Fortaleza"
23,2,"","Fortaleza"
24,4,"","Fortaleza"
25,3,"","Fortaleza"
26,4,"Com toda certeza! O clima e muito leve e me sinto muito em paz com isso.","Fortaleza"
27,4,"","Fortaleza"
28,4,"","Fortaleza"
29,4,"","Fortaleza"
30,4,"","Fortaleza"
31,4,"","Fortaleza"
32,4,"","Fortaleza"
33,4,"","Fortaleza"
34,4,"","Fortaleza"
35,4,"","Fortaleza"
36,4,"","Fortaleza"
37,4,"","Fortaleza"
38,4,"","Fortaleza"
39,4,"","Fortaleza"
40,4,"","Fortaleza"
41,4,"","Fortaleza"
42,3,"","Fortaleza"
43,4,"","Fortaleza"
44,4,"","Fortaleza"
45,2,"","Fortaleza"
1,3,"Possui necessidade de um galpão maior para ampliação da operação e construção de mais um banheiro.","Juazeiro do Norte"
2,4,"","Juazeiro do Norte"
3,3,"","Juazeiro do Norte"
4,2,"Infelizmente alguns colaboradores fazem apenas o trabalho para o qual foi contratado.","Juazeiro do Norte"
5,4,"Sinto alegria em trabalhar aqui, pois vejo prpopósito no que fazemos, além de eu enxergar na empresa a possibilidade de alcançar as minhas metas profissionais e pessoais.","Juazeiro do Norte"
6,3,"A grande maioria são pessoas com quem eu posso contar sim.","Juazeiro do Norte"
7,3,"Acredito que a motivação é algo que cada um deve construir no dia a dia, mas a empresa poderia auxiliar bem mais em determinados momentos.","Juazeiro do Norte"
8,2,"Percebo que alguns colaboradores ainda possuem dúvidas, mas não falam diretamente, talvez por vergonha ou receio de serem mal vistos por isso.","Juazeiro do Norte"
9,3,"Na grande maioria da vezes sim.","Juazeiro do Norte"
10,3,"A comunicação vem melhorando e acredito que com a proximidade entre as undiades, através de pessoas estratégicas, conseguiremos melhorar ainda mais essa disseminação de informações.","Juazeiro do Norte"
11,2,"Sei que a empres possui um projeto para isso, mas ainda não colocou em andamento.","Juazeiro do Norte"
12,3,"","Juazeiro do Norte"
